US,10000
CA,20000
GB,30000
DE,20000
FR,40000
ES,10000
IT,20000
SE,20000
GR,30000
PT,20000
NL,10000
BE,40000
RU,40000
UA,
PL,
IL,
TR,
AU,30000
MY,
TH,
KR,
JP,
PH,
SG,10000
CN,
HK,
TW,
PK,
IR,
ID,
AZ,
KZ,
UAE,
MX,
BR,
AR,
CL,
PE,
EC,
CO,
ZA,
EG,
AO,
CM,
CF,
TD,
BJ,
ET,
DJ,
GM,
GH,
KE,
LR,
MG,
ML,
MR,
MU,
MA,
MZ,
NG,
SN,
SC,
ZW,
SS,
SD,
TG,
TN,
UG,
ZM,
AF,
BH,
BD,
BT,
MM,
KH,
IQ,
JO,
LB,
MV,
MN,
OM,
QA,
SA,
TM,
UZ,
YE,
AL,
AD,
AT,
AM,
BA,
BG,
BY,
HR,
CY,
CZ,
DK,27000
EE,
FI,41000
GE,
HU,
IS,
IE,
LV,
LI,
LT,
LU,
MC,
MD,
ME,
NO,
RO,
RS,
SK,
SI,
CH,
MK,
BS,
BZ,
VG,
CR,
CU,
DM,
HT,
HN,
JM,
AW,
PA,
PR,
TT,
FJ,
NZ,39000
BO,
PY,
UY,
CI,
SY,20000
VN,46000
MT,49000
